Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,l_IC,r.ASIS,r.PSIS,r_5meta,r_IC,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
1422,0.075541,0.0275581,0.0268083,0.00041178,0.00969036,0.00076503,0.00116093,0.00817938,0.0273088,0.00781807,0.00544092,0.0206799,0.0312255,0.00215523,0.000623605,0.00112938,0.000945936,0.00515222,0.0052169,0.00386685,0.00349851,0.000759826,0.0138285,0.0163601,0.00812856,0.018359,0.0153796,0.00640119,0.00129438,0.0247585,0.0170369,0.010344,0.0075781,0.0167598,0.0194957,0.00231827,0.00777185,0.0248349,0.00873548,0.0230103,0.0256533,0.00147466,0.000812735,0.00145647,0.0018696,0.00157439,0.00336,0.00247787,0.00193634,0.00268819,0.00199821,0.0022847
1423,0.0755136,0.0275531,0.0268138,0.000352851,0.00962784,0.000796965,0.00112236,0.00817389,0.0272539,0.00772738,0.00534562,0.020614,0.0313003,0.00218305,0.000596678,0.00113603,0.000926658,0.00514715,0.00517802,0.00386282,0.0034691,0.000803518,0.0138723,0.0162256,0.00807397,0.018373,0.0154297,0.00637655,0.0013337,0.024636,0.0169364,0.0103086,0.00763735,0.0167547,0.0195714,0.00205593,0.00778124,0.0248496,0.00871151,0.0230483,0.025776,0.00147107,0.000772986,0.0013817,0.00178564,0.00157795,0.00337752,0.00250419,0.00195222,0.00269066,0.00201817,0.00231093
1424,0.0754715,0.0275378,0.026818,0.000398703,0.00959257,0.000796731,0.00107129,0.00817747,0.0272125,0.00765533,0.00530933,0.020518,0.0313349,0.00222209,0.000574233,0.00114623,0.000938917,0.0051462,0.00517652,0.00389392,0.00348477,0.000709692,0.0139109,0.01621,0.00801082,0.0183645,0.0155519,0.00632962,0.00137194,0.0246375,0.0168523,0.0102854,0.00768598,0.0167682,0.0197381,0.00181328,0.00773173,0.0248417,0.00868889,0.0230992,0.0259222,0.00147512,0.000785731,0.00142077,0.00183209,0.00160589,0.00339189,0.00247727,0.00195133,0.00270314,0.00202423,0.00236724
1425,0.0754564,0.0275338,0.0268293,0.000469616,0.00957128,0.000784983,0.0010428,0.00820367,0.0271774,0.00764084,0.00527123,0.0206499,0.0313239,0.00227365,0.00053587,0.0011462,0.000975916,0.00515106,0.00518146,0.00389014,0.00349608,0.00150582,0.0139219,0.0162986,0.0079477,0.0183631,0.0155955,0.00628416,0.00140902,0.0247794,0.0167868,0.010268,0.00770181,0.0167871,0.0198057,0.00159596,0.00760615,0.0248425,0.00866204,0.0231273,0.0260354,0.0015006,0.000811906,0.0013824,0.00192729,0.0016534,0.00341199,0.00244802,0.0019471,0.00273423,0.0020374,0.00238756
1426,0.0754546,0.0275391,0.026838,0.000537093,0.00952525,0.000782403,0.00103917,0.00824383,0.0271484,0.00762912,0.00522383,0.0207478,0.0312866,0.00229711,0.000496445,0.00113482,0.000991277,0.00516733,0.00521612,0.00389635,0.00354617,0.000845305,0.0139119,0.0163546,0.00791177,0.0183715,0.0155677,0.00627931,0.00142787,0.025031,0.0167392,0.0102763,0.00771111,0.0168177,0.0198237,0.00143688,0.00756296,0.0248303,0.00862617,0.0231448,0.026159,0.0015915,0.000831604,0.0014569,0.00185527,0.00170318,0.00342462,0.00250899,0.00194796,0.00277338,0.00204002,0.00244849
1427,0.075444,0.0275349,0.026835,0.000606578,0.00947501,0.000765128,0.00104523,0.00828398,0.0271339,0.00759251,0.00518417,0.0207884,0.0312983,0.00230459,0.000476432,0.00110189,0.000987679,0.00520977,0.00522748,0.00394131,0.00357112,0.000476568,0.0139249,0.0163633,0.00788976,0.0183693,0.0155365,0.00630406,0.00142347,0.0251658,0.0166895,0.0103084,0.00772439,0.0168483,0.0198337,0.00132969,0.0075587,0.0248282,0.00857546,0.0231786,0.0262839,0.00163932,0.000845484,0.00144157,0.00176228,0.00174164,0.00341433,0.00253147,0.00195061,0.00279524,0.00204378,0.00241878
1428,0.0754089,0.027535,0.0268475,0.000636176,0.00943856,0.000735819,0.00105173,0.00828018,0.0271098,0.00755144,0.00520829,0.020788,0.0313556,0.00232327,0.000454582,0.0010868,0.000975769,0.00523851,0.00521999,0.00392177,0.00358572,0.00043242,0.0139308,0.0163342,0.00783974,0.0183432,0.0155167,0.00632151,0.00142195,0.0251248,0.0166473,0.0103594,0.00771497,0.0168712,0.0198222,0.00129236,0.00756091,0.0248396,0.00857916,0.0232,0.0264164,0.00163641,0.000869787,0.00160343,0.00182032,0.0017634,0.00341131,0.00246571,0.00195289,0.00279012,0.00204725,0.00241783
1429,0.0753819,0.0275363,0.0268288,0.000635346,0.00941497,0.000720405,0.00105567,0.00824221,0.0270925,0.00752869,0.00523658,0.0208054,0.0314328,0.00233817,0.000433898,0.00108601,0.000994251,0.0052613,0.00524154,0.00392382,0.00356252,0.000436748,0.0139039,0.016368,0.00780591,0.0183283,0.0155317,0.00631813,0.00140988,0.0251311,0.0166556,0.0103871,0.00771322,0.0168896,0.0197667,0.00133458,0.00759297,0.0248391,0.00859237,0.0232121,0.0265507,0.00163613,0.000884864,0.00171697,0.00194513,0.00182336,0.00339191,0.00241212,0.00196237,0.00281486,0.00204623,0.00249091
1430,0.0753957,0.0275409,0.0267499,0.000616481,0.00942089,0.000724813,0.0010542,0.00824984,0.0270868,0.00752279,0.00524998,0.0208171,0.0315279,0.00236566,0.000422501,0.00108976,0.00100667,0.00527375,0.00526209,0.00393691,0.003597,0.000418331,0.0138492,0.0164987,0.00781687,0.0183281,0.0155396,0.00632927,0.00140107,0.0250959,0.0166866,0.0104293,0.00774009,0.0169015,0.0196877,0.00141514,0.00767703,0.0248322,0.0086122,0.0232223,0.0267018,0.00164005,0.00088843,0.00170496,0.0019285,0.00181129,0.00335049,0.00239337,0.00194087,0.00279709,0.00204449,0.00261755
1431,0.07545,0.0275263,0.0267492,0.000584724,0.009493,0.00071319,0.00104301,0.00829885,0.027082,0.00747177,0.00528329,0.0208282,0.0316886,0.00239588,0.000406234,0.0010785,0.00101645,0.00525832,0.00528814,0.00399236,0.00360418,0.000434654,0.0138057,0.016609,0.00786071,0.0183397,0.0154157,0.00638401,0.00137776,0.0250517,0.0167195,0.0104632,0.00775458,0.0169237,0.0197415,0.00151263,0.00764746,0.0248118,0.0086428,0.0232336,0.0268321,0.00165255,0.00086502,0.00157764,0.00187217,0.00179858,0.00330234,0.00238991,0.00191225,0.00277937,0.00201165,0.00276363
1432,0.0754958,0.0275117,0.0268416,0.00054965,0.0095673,0.000688257,0.00101711,0.00832378,0.0271015,0.0074751,0.00535097,0.0208315,0.0318271,0.00241566,0.000368657,0.00105584,0.00102692,0.00525873,0.00529741,0.00400803,0.00357912,0.000721875,0.013771,0.0166835,0.00791433,0.0183251,0.0151347,0.00645015,0.00137268,0.0250395,0.0167426,0.0104969,0.00775073,0.0169404,0.0196744,0.00158863,0.00770104,0.0247777,0.0086669,0.0232486,0.0270163,0.00168,0.000817508,0.00142558,0.00185745,0.00180151,0.00325579,0.00240174,0.00187204,0.00277258,0.0019923,0.00289172
1433,0.0755586,0.0275059,0.026877,0.000526273,0.00965233,0.000673249,0.00097339,0.00831686,0.0272454,0.00749104,0.00541397,0.0208141,0.0319649,0.00241262,0.000332809,0.00102453,0.00102445,0.00527755,0.0052854,0.0039957,0.00357843,0.00127758,0.0137385,0.0167455,0.00798854,0.0183264,0.0150605,0.00640684,0.00139517,0.025036,0.0167381,0.0105474,0.00772415,0.0169471,0.0196376,0.00161977,0.00764664,0.0247447,0.00867784,0.0232465,0.0272902,0.00168465,0.000768465,0.00154653,0.00187877,0.00173495,0.00324704,0.00232198,0.00183382,0.00275568,0.00198117,0.0028706
1434,0.075639,0.027672,0.0268571,0.000502107,0.00974073,0.000672905,0.000920292,0.00830038,0.0275631,0.00747053,0.00549237,0.0207995,0.032142,0.00241683,0.000319144,0.000989785,0.000998121,0.00530422,0.00531379,0.00399065,0.00358335,0.000763758,0.0137002,0.0167973,0.00803551,0.0183511,0.0151783,0.00638388,0.00141642,0.0250303,0.0167269,0.0105881,0.00771253,0.016951,0.019662,0.00161841,0.00768401,0.024755,0.00867612,0.0232059,0.0275174,0.00163866,0.000727293,0.00163796,0.00200805,0.001711,0.00327845,0.00224145,0.00179993,0.00271949,0.00195868,0.00289287
1435,0.0757162,0.02814,0.0267588,0.000477449,0.00983207,0.000686596,0.000878933,0.00828013,0.0277181,0.00747355,0.00557197,0.0207787,0.0324041,0.00241652,0.000292338,0.000963299,0.00101805,0.00529949,0.00533033,0.00398629,0.00363573,0.000814289,0.0136637,0.0168032,0.00807635,0.01838,0.0153704,0.00640208,0.00143439,0.0250461,0.0167019,0.0106306,0.00769915,0.0169576,0.0197806,0.00157828,0.0076168,0.0247721,0.00866372,0.0231657,0.0277237,0.00159759,0.000700376,0.00161852,0.00215363,0.00168318,0.00323654,0.00221308,0.00177535,0.00269768,0.0019142,0.0029904
1436,0.0757794,0.0283477,0.0265673,0.000475194,0.00989703,0.000706361,0.000855979,0.00825796,0.0277286,0.0075654,0.00565537,0.0207734,0.0327024,0.00243277,0.00028677,0.000953715,0.00107093,0.00529509,0.00533472,0.00399999,0.00359876,0.00137023,0.0136424,0.0167319,0.0081395,0.0184089,0.0153437,0.00640594,0.00140246,0.0250863,0.0166698,0.0106745,0.00770214,0.0169607,0.0197564,0.00152462,0.00768504,0.024768,0.00864265,0.0231181,0.0279042,0.00168207,0.000680779,0.001492,0.00215586,0.00164164,0.00323143,0.00225563,0.00175705,0.00268673,0.00188284,0.0031275
1437,0.0758415,0.0283574,0.0264726,0.000468088,0.00994195,0.000730998,0.000828924,0.00821736,0.027603,0.00761454,0.00571105,0.0207648,0.0329258,0.00244106,0.000313441,0.000942387,0.00114702,0.00530547,0.00534658,0.00401516,0.00357998,0.000909223,0.0136545,0.0166791,0.0082522,0.0184405,0.0155513,0.00638514,0.00140615,0.0251293,0.0166404,0.0107282,0.00773289,0.0169556,0.0196271,0.00148713,0.00783948,0.0247879,0.0086161,0.0230572,0.0280677,0.00164236,0.000663763,0.00133418,0.00204933,0.00158569,0.00329157,0.0023224,0.00175485,0.00268891,0.00187527,0.00315579
1438,0.0759066,0.0283391,0.0264852,0.000470824,0.0100134,0.000767651,0.000815239,0.00817305,0.0273241,0.00764028,0.00576246,0.0207628,0.033137,0.00243594,0.000333693,0.000942444,0.00119033,0.00531613,0.00536496,0.00404536,0.00355658,0.000965734,0.0136869,0.0166088,0.008361,0.0184495,0.0157388,0.00635675,0.00140504,0.0251686,0.0166262,0.0107629,0.00776728,0.0169704,0.0196163,0.00147479,0.00782814,0.0248084,0.00858804,0.0229972,0.0281881,0.00164098,0.000637615,0.00138531,0.0020967,0.00157924,0.00331166,0.00238718,0.00176053,0.00268748,0.00187743,0.00328155
1439,0.0758925,0.0283551,0.0264794,0.000470512,0.010141,0.000806646,0.000806836,0.0081659,0.0272473,0.00769208,0.0058056,0.0207463,0.0333473,0.00245849,0.000358441,0.000961606,0.00120007,0.00532012,0.00538654,0.00406089,0.00356766,0.00153002,0.0137376,0.0165489,0.00843226,0.0184369,0.0157857,0.00635059,0.00139062,0.025219,0.0166035,0.0108084,0.00778729,0.0169884,0.0195657,0.00148912,0.00792151,0.0248196,0.00856305,0.0229533,0.028319,0.00164665,0.000616619,0.00134886,0.00228964,0.00154274,0.00330466,0.00237128,0.00176707,0.00268612,0.00190456,0.0033955
1440,0.0759227,0.0283923,0.0264905,0.000487403,0.0102416,0.00083974,0.000808198,0.00819219,0.0272633,0.00781319,0.00583061,0.0207326,0.0335406,0.00248979,0.000387701,0.000977061,0.00121961,0.00532933,0.00539341,0.00404193,0.00355898,0.00101197,0.0137686,0.0165835,0.0084682,0.0184362,0.0157562,0.0063619,0.00140169,0.0252763,0.0165801,0.0108435,0.00780901,0.0170042,0.0196375,0.00153518,0.00791699,0.0248209,0.00854429,0.0229242,0.0284279,0.00163711,0.000598618,0.00153257,0.00232572,0.0015562,0.00330772,0.00232557,0.00178096,0.00268915,0.00191506,0.00351843
1441,0.0760309,0.0284068,0.0265248,0.000498504,0.0102938,0.000869022,0.000806686,0.00819815,0.0273072,0.00788582,0.00586225,0.0207126,0.0336936,0.00249962,0.000400209,0.000979724,0.00124178,0.00535747,0.00538792,0.00397774,0.0035919,0.000785634,0.013767,0.0166701,0.00853309,0.0184588,0.0157731,0.0063478,0.00144485,0.0253315,0.0165541,0.0108849,0.00783815,0.0170358,0.019679,0.0016133,0.00797551,0.0248375,0.00853316,0.0229252,0.0285527,0.0016156,0.000569815,0.00166145,0.00223025,0.00151664,0.00331736,0.00243087,0.00179544,0.00269624,0.00190608,0.00349206
1442,0.0761925,0.028421,0.0264537,0.000523665,0.0103282,0.00088351,0.000835374,0.00818376,0.027436,0.00789627,0.00590391,0.0206894,0.0338882,0.00251333,0.000394663,0.000992102,0.00124947,0.00536484,0.00536291,0.00395482,0.00356963,0.00080651,0.0137527,0.016696,0.00858586,0.0184689,0.0157867,0.0063376,0.0014965,0.0253642,0.0165455,0.0109331,0.00788761,0.0170794,0.0196603,0.00172772,0.00785057,0.0248471,0.00852928,0.0229117,0.0286743,0.00159428,0.00053554,0.00169187,0.00224048,0.00151777,0.00330502,0.00249937,0.00179636,0.00266302,0.0018836,0.00343306
1443,0.0762835,0.0284515,0.0264442,0.000520912,0.0103928,0.000883043,0.000878032,0.00815461,0.0276004,0.00792454,0.00595301,0.0206614,0.0340523,0.00252129,0.000362767,0.0010014,0.00123088,0.00536352,0.00532559,0.00396808,0.00358172,0.00101104,0.0137324,0.0167034,0.00861555,0.0184969,0.0158042,0.00633697,0.00154344,0.0253799,0.0165356,0.0109935,0.00792041,0.0171136,0.0196128,0.00182676,0.00779085,0.0248176,0.00853022,0.0229217,0.0287927,0.00157877,0.000521992,0.00167068,0.0023091,0.00156801,0.00324921,0.0024939,0.00177412,0.00263776,0.00185523,0.00345448
1444,0.0763313,0.0284953,0.0265338,0.000529231,0.0104495,0.000866493,0.000943877,0.00817427,0.0274148,0.00797896,0.00597535,0.0206396,0.0341852,0.00253569,0.000313833,0.00104014,0.00123459,0.00534024,0.00527739,0.0039839,0.00353107,0.00206889,0.0137134,0.0167241,0.00866833,0.0185212,0.0158419,0.00633267,0.00153058,0.0253798,0.0165193,0.0110256,0.00796726,0.0171444,0.0195312,0.00190173,0.00785986,0.024784,0.0085322,0.0229615,0.0288764,0.00161542,0.000513602,0.0015533,0.00219903,0.00155276,0.00324519,0.00247634,0.00173336,0.00262278,0.00182286,0.00344799
1445,0.0763507,0.0285325,0.0265693,0.000563328,0.0105151,0.000859467,0.000998705,0.0081869,0.0272871,0.00797202,0.00596627,0.0206393,0.0343152,0.00255329,0.000290193,0.00114874,0.00122207,0.0053231,0.00520526,0.00397748,0.00353398,0.00246191,0.0136947,0.0167693,0.00867088,0.0185239,0.0157956,0.00631285,0.00154462,0.0253796,0.0165245,0.0110685,0.0080081,0.0171783,0.0194566,0.00192852,0.00796762,0.0247853,0.00853228,0.0230019,0.0289933,0.00152389,0.000502446,0.00138942,0.00209251,0.00157057,0.00325133,0.00243543,0.00170377,0.00259145,0.00178431,0.00345445
1446,0.0763551,0.0285625,0.0265703,0.00060639,0.0105734,0.000855861,0.0010554,0.00812848,0.0272766,0.00792017,0.0059454,0.0206648,0.0344447,0.00257352,0.00028171,0.00130216,0.00120096,0.00530177,0.00514364,0.00396315,0.00351171,0.00200882,0.013669,0.0168038,0.008657,0.0185172,0.0157821,0.00627999,0.00157797,0.025382,0.0165501,0.0111149,0.00803191,0.0172086,0.0195548,0.00191919,0.00782305,0.0247689,0.00852738,0.0230052,0.0291161,0.00151276,0.000490662,0.00143009,0.00217797,0.00155443,0.00325308,0.00236037,0.00169835,0.00255331,0.0017584,0.00346634
1447,0.0763672,0.0286036,0.0265816,0.000617046,0.010584,0.000861719,0.00109982,0.0080329,0.0272973,0.0078962,0.00593795,0.0206673,0.0345457,0.00258737,0.000296064,0.00116436,0.0011838,0.00524697,0.00508109,0.00395397,0.00354139,0.00168023,0.0136495,0.0168346,0.00869089,0.018504,0.0157552,0.00626249,0.00161486,0.0253928,0.0164719,0.0111624,0.00801896,0.0172122,0.0196277,0.00184205,0.00773935,0.0247304,0.00851822,0.0230424,0.0292512,0.00151634,0.000473756,0.00124171,0.00226576,0.00165998,0.00325952,0.00228653,0.00167071,0.00254916,0.00172676,0.00347585
1448,0.076387,0.0285999,0.02661,0.00060417,0.0105147,0.00088748,0.00112666,0.00810576,0.0272897,0.00787187,0.0059508,0.0206221,0.0346053,0.00260291,0.000344851,0.00108354,0.00118422,0.00519061,0.00500622,0.00391278,0.00351947,0.00203007,0.013654,0.0168726,0.00879119,0.018487,0.0157243,0.00626472,0.00164137,0.0254204,0.0163862,0.0112062,0.00800096,0.0172178,0.0196589,0.00172871,0.00772791,0.0246978,0.00850694,0.0230936,0.0293828,0.00152711,0.000473866,0.00115024,0.00227252,0.00164314,0.00326176,0.00234732,0.00164574,0.00254656,0.00169979,0.00348157
1449,0.0763812,0.0285954,0.0266436,0.000584799,0.0104506,0.000922056,0.00113684,0.00817755,0.0272313,0.00778471,0.00592508,0.0206981,0.0346825,0.00261818,0.000403404,0.0010837,0.00122428,0.00513917,0.00491333,0.0038202,0.0035423,0.00209693,0.0136558,0.0169424,0.00871695,0.0184612,0.0156583,0.00627523,0.00167779,0.0254829,0.0163079,0.0112541,0.00796682,0.0172335,0.0196673,0.00160459,0.00773663,0.0246649,0.00849644,0.0231217,0.0295249,0.00155173,0.000480329,0.00116005,0.00222075,0.00154355,0.00325081,0.00234297,0.00162301,0.00256427,0.00169086,0.00342503
1450,0.0763925,0.0285566,0.0266828,0.0005883,0.0104174,0.000938122,0.00115251,0.00820015,0.027188,0.00769409,0.005885,0.0207153,0.0347619,0.00264096,0.000448668,0.00108914,0.00124783,0.0051193,0.00482983,0.00376699,0.0035259,0.00162496,0.0136336,0.0170724,0.00861904,0.0184371,0.0156282,0.00626544,0.00171715,0.0255501,0.0162307,0.0112868,0.00795189,0.017252,0.0196263,0.00148897,0.00778418,0.0246233,0.00848884,0.0231428,0.0296536,0.00157841,0.000482741,0.00119046,0.00224103,0.00155461,0.00324748,0.00226151,0.00160959,0.00257566,0.00169829,0.00339245
1451,0.0764301,0.0285347,0.0267272,0.000618151,0.0103903,0.000948986,0.00116688,0.00814567,0.0271853,0.0076132,0.00583951,0.0206596,0.034864,0.00262717,0.000479353,0.00108942,0.00125839,0.00509886,0.00478108,0.00374989,0.00352674,0.00123541,0.0136185,0.0171651,0.0085668,0.0184412,0.0156382,0.00625112,0.00175736,0.0256052,0.0161461,0.0113192,0.00797604,0.0172612,0.0195462,0.00139281,0.00787899,0.0246029,0.00848583,0.0231746,0.0297629,0.00159648,0.0004838,0.00130802,0.00235601,0.00167031,0.00323814,0.00229906,0.00161811,0.00256832,0.00169647,0.00337887
1452,0.0765078,0.0285331,0.0267562,0.000640485,0.0103534,0.000964382,0.00116934,0.00800925,0.0271881,0.00755781,0.00577732,0.020759,0.0349562,0.00259632,0.000515622,0.00110481,0.00128229,0.00505197,0.00478391,0.00375242,0.00356897,0.00118442,0.0136189,0.0172071,0.00855422,0.0184594,0.0156583,0.0062315,0.00177092,0.0256398,0.016065,0.0113431,0.00802971,0.0172945,0.0195935,0.0013159,0.00782948,0.0245716,0.00848782,0.0232359,0.0298655,0.00162605,0.000487671,0.00152386,0.00234984,0.00181708,0.00322975,0.00230569,0.00163346,0.00256475,0.00169378,0.00341694
1453,0.0764951,0.0285411,0.0267696,0.00066554,0.0103208,0.000983302,0.00115692,0.0079605,0.0271422,0.00756803,0.00574846,0.0208276,0.0350438,0.00258374,0.000535947,0.00111863,0.00130927,0.00499238,0.00489244,0.00376073,0.00362937,0.00101243,0.0136338,0.0172292,0.00856274,0.018458,0.0156581,0.00621771,0.00176354,0.0256639,0.0160693,0.0113595,0.0080155,0.0173167,0.0196444,0.00134875,0.00785381,0.0245299,0.00849483,0.0233025,0.0299771,0.00167456,0.000501197,0.00142635,0.00237168,0.00183286,0.00322648,0.00232726,0.00164622,0.00258981,0.00170671,0.00350611
1454,0.0765883,0.0285275,0.0267694,0.000713836,0.010288,0.000996038,0.00115187,0.00802661,0.0270657,0.00754711,0.0057233,0.0208385,0.0351356,0.00258475,0.000547329,0.00110422,0.0012991,0.00496948,0.00495185,0.00377382,0.00366094,0.00103835,0.0136421,0.0172213,0.00856291,0.018437,0.0156612,0.00621683,0.00178234,0.0256765,0.0160573,0.0113512,0.00794183,0.0173105,0.0198835,0.00142967,0.00774068,0.0245208,0.00850566,0.0233724,0.0300788,0.00173421,0.000513667,0.0013011,0.00237756,0.00174193,0.00321735,0.00230127,0.00165524,0.00261982,0.00170634,0.00346312
1455,0.0766372,0.0285278,0.0267722,0.000766637,0.0102609,0.000999458,0.00115749,0.00816761,0.0270227,0.00750959,0.00568594,0.0207673,0.0352736,0.00256235,0.000566644,0.00107898,0.00128885,0.0050153,0.00498449,0.00378108,0.00371194,0.00102884,0.0136465,0.0171691,0.00855304,0.0184284,0.0156884,0.00624303,0.00180341,0.0256605,0.0160198,0.0113499,0.00791453,0.017307,0.0199854,0.00154779,0.00775799,0.0245364,0.00851865,0.023397,0.0301816,0.00178832,0.000519858,0.00126983,0.00240647,0.00166153,0.00318903,0.00230677,0.00167174,0.0026258,0.00170296,0.00335276
1456,0.0765087,0.0285608,0.0267585,0.000774251,0.0102755,0.00101184,0.00115851,0.00817772,0.0270038,0.00748599,0.00569342,0.0206724,0.0353879,0.00254376,0.000570448,0.00105714,0.00130454,0.00504817,0.00500357,0.00379471,0.00373143,0.000992071,0.0136617,0.0171675,0.00853691,0.0184258,0.015712,0.00628664,0.00180354,0.025641,0.0159756,0.0113563,0.00794163,0.0173185,0.0199842,0.00168,0.00797265,0.0245071,0.00853203,0.0234089,0.0302716,0.00184215,0.000526341,0.00128096,0.00241845,0.00168475,0.0031734,0.00227089,0.00168399,0.00264076,0.00171234,0.00332201
1457,0.0762135,0.0285942,0.0267391,0.000757824,0.0102726,0.00102208,0.00114971,0.0080489,0.0270332,0.00752295,0.00572025,0.0207359,0.0355157,0.00254299,0.000558588,0.00105143,0.00134743,0.00504418,0.00500549,0.00382513,0.00375001,0.000849645,0.0136742,0.0172334,0.00855975,0.0184114,0.015722,0.00632034,0.00179845,0.0256257,0.0160245,0.0113663,0.00798024,0.0173168,0.0199099,0.00180145,0.00810107,0.0245064,0.00854312,0.0234158,0.0303875,0.00190306,0.000533909,0.00130182,0.00243539,0.00168986,0.00315807,0.00230976,0.00169733,0.00266791,0.0017399,0.00335436
1458,0.0762259,0.028614,0.0267182,0.000746377,0.0102551,0.00101993,0.00114197,0.00797285,0.0271284,0.00755479,0.0056846,0.0207418,0.0355999,0.00255169,0.000550619,0.00104938,0.00135902,0.00507002,0.00500195,0.00386117,0.00372012,0.000866292,0.013671,0.0173179,0.00861183,0.0183896,0.0157213,0.00635467,0.00181029,0.0256203,0.0161445,0.0113787,0.00800297,0.0173115,0.0198216,0.00188198,0.00807787,0.0245152,0.00854867,0.0234061,0.0304747,0.00195379,0.000531488,0.00131892,0.00242355,0.00168999,0.00315799,0.00231297,0.00173673,0.00269546,0.00180108,0.00346513
1459,0.0764272,0.028629,0.0266793,0.000751553,0.010287,0.00100758,0.00114713,0.00798484,0.0271458,0.00758803,0.0056504,0.0206677,0.0357442,0.00258245,0.000533298,0.00103769,0.00133311,0.00520371,0.00499607,0.00387759,0.00373339,0.000833536,0.0136893,0.017271,0.00865481,0.0183697,0.0157213,0.00638425,0.00182386,0.0256377,0.0162023,0.0114093,0.00804136,0.0173078,0.0198718,0.001886,0.0079138,0.0245332,0.00854674,0.0233829,0.0305712,0.00201344,0.000521807,0.00130822,0.00244524,0.00169339,0.00317435,0.00232776,0.00178249,0.00271827,0.00188046,0.00353663
1460,0.0765596,0.0286658,0.0266055,0.000760357,0.0103409,0.00100269,0.0011533,0.00808485,0.0270956,0.00763422,0.00572604,0.0207478,0.0359247,0.00264272,0.000507392,0.00103075,0.00128459,0.00526209,0.00498289,0.00389025,0.00373702,0.000894202,0.0137288,0.0172509,0.00871605,0.0183581,0.0157205,0.00640309,0.00184757,0.0256425,0.0162246,0.0114602,0.00810755,0.0173185,0.0198811,0.00184037,0.00788659,0.0245591,0.00853754,0.0233355,0.0306666,0.00208385,0.000507015,0.00129085,0.00245226,0.00169382,0.00317635,0.00237756,0.00183314,0.00273769,0.00193546,0.00357888
1461,0.0766315,0.0287038,0.026468,0.000753578,0.0104287,0.000997864,0.00114093,0.00812865,0.0270754,0.00767763,0.0057939,0.020786,0.0360622,0.00272844,0.0004915,0.00103633,0.00125968,0.00522025,0.00497252,0.00387652,0.00375098,0.00097848,0.0137668,0.0173139,0.00878793,0.0183717,0.0157509,0.00642682,0.00186871,0.025636,0.0162537,0.0115061,0.00818844,0.0173229,0.0197878,0.00176866,0.00794481,0.0245847,0.00852336,0.0233104,0.0307722,0.00215384,0.000496024,0.00128241,0.00243811,0.00167996,0.00317027,0.0024684,0.00187888,0.00274828,0.00197544,0.00366052
1462,0.0766727,0.0287291,0.0263871,0.000760672,0.0105394,0.000999623,0.001131,0.00812191,0.0270745,0.00775405,0.00582231,0.0207065,0.0362018,0.00285396,0.000498254,0.00100859,0.0012506,0.00509086,0.00497519,0.00386502,0.00376323,0.000956294,0.0138119,0.0173121,0.00883393,0.0183904,0.0158025,0.00647286,0.00188041,0.0255925,0.0162979,0.0115561,0.00821806,0.0173221,0.0195774,0.00168721,0.00801437,0.0245824,0.00850676,0.0233014,0.0308558,0.00221174,0.00049594,0.00129357,0.00241981,0.00172184,0.00317994,0.00249894,0.0019219,0.00277916,0.00201948,0.0037303
1463,0.0765941,0.0287452,0.0263416,0.00074348,0.0106301,0.000997532,0.00111796,0.00805084,0.0271007,0.00791315,0.0058582,0.0205421,0.0363828,0.00296897,0.000498005,0.00100084,0.0012407,0.00503071,0.00499944,0.00385982,0.00378515,0.00111298,0.0138698,0.0172212,0.00887604,0.0183879,0.0158059,0.00651257,0.00186644,0.0255441,0.0163563,0.0115824,0.00818189,0.0173173,0.0194506,0.0016211,0.00806748,0.0245939,0.00849164,0.0232757,0.0309363,0.00228566,0.000507538,0.0013079,0.00239221,0.00170161,0.00319957,0.00252992,0.00195891,0.00279935,0.00206106,0.00374312
1464,0.076401,0.028803,0.026275,0.000728459,0.0107176,0.00100305,0.00111269,0.00792008,0.027128,0.0080927,0.00591371,0.0205318,0.0365721,0.00305503,0.000480076,0.0010044,0.00124265,0.00502263,0.00501292,0.00386225,0.00376127,0.00106198,0.0139185,0.0171094,0.00891928,0.0183628,0.0158116,0.00651518,0.00185304,0.0255005,0.0164338,0.0115869,0.00818387,0.0173064,0.0193983,0.00160056,0.00814476,0.0246063,0.00848158,0.0232364,0.03102,0.00239956,0.000514601,0.00131596,0.00237134,0.00171319,0.00320481,0.00257641,0.00197879,0.00280656,0.00209706,0.00379003
