Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
377,0.0133449,0.0283401,0.0109528,0.0183433,0.0269771,0.0219925,0.0218113,0.0256099,0.0241187,0.0139982,0.00864646,0.0187449,0.0142685,0.0247251,0.00977645,0.0177538,0.015541,0.0174533,0.0114793,0.0162721,0.0155127,0.0441039,0.0311336,0.0049863,0.0124722,0.022862,0.0153096,0.0346272,0.0605077,0.0459257,0.0214161,0.0236432,0.0363395,0.0262841,0.0290593,0.036214,0.00535072,0.0192906,0.0134462,0.0123692,0.00543455,0.00466684,0.00310781,0.00415838,0.0035152,0.0181015
378,0.012622,0.0287909,0.0114888,0.0174562,0.028131,0.0147948,0.0166749,0.0255327,0.0241579,0.0134176,0.00741528,0.0185345,0.0151533,0.0207742,0.0119601,0.0150012,0.0112784,0.0136279,0.00776212,0.0147536,0.0150748,0.0437933,0.0318777,0.00544561,0.0123794,0.0226636,0.0128552,0.0339276,0.0601625,0.0459993,0.0211271,0.0232545,0.0359646,0.026298,0.0288164,0.0357262,0.00380317,0.0169778,0.0118006,0.0106647,0.00660954,0.00589118,0.00418908,0.00477527,0.00370108,0.0184896
379,0.011954,0.0290364,0.0122272,0.0165454,0.0290769,0.0102009,0.0132199,0.0255601,0.0239913,0.0129273,0.00670295,0.0194556,0.0153673,0.0175546,0.0134738,0.0112515,0.00676185,0.00959555,0.00442912,0.0150043,0.0145723,0.0435685,0.0324839,0.00613137,0.0124721,0.0224123,0.0104536,0.0335349,0.0596955,0.0461282,0.0210665,0.0234087,0.0356761,0.0263155,0.0286524,0.0353137,0.00220925,0.0140019,0.0100951,0.00870996,0.00888225,0.00836145,0.00682025,0.00656886,0.00525959,0.0189161
380,0.0113729,0.0290995,0.0131814,0.0153188,0.0302108,0.0109381,0.0151191,0.0257741,0.0236986,0.0126175,0.00690218,0.021293,0.0163649,0.0162242,0.0144967,0.00753018,0.0048959,0.00599553,0.00513075,0.015944,0.0140217,0.0434937,0.0329891,0.00696335,0.0129156,0.0222043,0.00834801,0.0334278,0.0591734,0.0463722,0.0207022,0.0235967,0.0352928,0.0265218,0.0284804,0.0350011,0.00102347,0.0109378,0.00856443,0.00652808,0.0118634,0.0116681,0.0102081,0.00891732,0.00759538,0.0196253
381,0.0107436,0.0290771,0.0143658,0.0148526,0.0319103,0.0116876,0.017198,0.026246,0.0234727,0.0125719,0.00806682,0.0234023,0.0173963,0.0172971,0.0147137,0.00639026,0.00885828,0.0034641,0.00961152,0.0162721,0.0135477,0.0434985,0.0337407,0.00793345,0.0137382,0.0220504,0.00700622,0.0337441,0.0586411,0.0466686,0.0195797,0.0241408,0.0346585,0.0269266,0.0282028,0.0347858,0.00194378,0.00798835,0.00732172,0.00511051,0.0151454,0.0152718,0.01387,0.0114523,0.0103639,0.020672
382,0.00987745,0.0290628,0.0159149,0.0149958,0.0341673,0.012225,0.0175573,0.0269012,0.0233147,0.0127588,0.0098336,0.0254638,0.016122,0.0186967,0.0128541,0.00859579,0.0135343,0.00703382,0.0149284,0.0164448,0.0130221,0.0435084,0.0346069,0.00910881,0.0148879,0.0219726,0.00706874,0.0340091,0.0580587,0.0469875,0.0189147,0.0251483,0.0337575,0.0273532,0.0277663,0.0346896,0.00417168,0.00541144,0.00699789,0.00352164,0.0184453,0.0187637,0.0175447,0.0139563,0.0130318,0.0213061
383,0.00902454,0.0291112,0.0174538,0.0159791,0.0368939,0.0134732,0.0175452,0.0276842,0.0232541,0.0130313,0.0116463,0.0269601,0.0128972,0.0190831,0.00897704,0.0120087,0.0170501,0.0117798,0.0200082,0.0165682,0.0125026,0.0434828,0.0353487,0.0104281,0.0161499,0.0217914,0.00839378,0.0342401,0.0574848,0.047265,0.0188342,0.0264594,0.0328644,0.0277681,0.0271623,0.035125,0.00690209,0.00365716,0.00767251,0.00245845,0.021315,0.0216283,0.0207813,0.0162426,0.015462,0.0218245
384,0.00821867,0.029237,0.0183248,0.0175692,0.0388457,0.0147366,0.0171922,0.0284961,0.0230821,0.0132938,0.0131334,0.0274314,0.0117049,0.018701,0.00613654,0.0163513,0.0186953,0.0157532,0.0235127,0.0169234,0.0121883,0.0434318,0.0360388,0.0118585,0.0174504,0.0217884,0.0103625,0.0341637,0.0569991,0.0474791,0.0187617,0.0278263,0.0321199,0.0280408,0.0263996,0.0357435,0.00957039,0.00372174,0.00950155,0.0033693,0.0236005,0.0235933,0.0230118,0.0181724,0.0174441,0.0224008
385,0.00742995,0.02942,0.0197621,0.0191111,0.0401755,0.015838,0.016,0.0289172,0.0228127,0.0134475,0.0140904,0.0274187,0.0131041,0.0180327,0.0079358,0.0198627,0.0187683,0.0187669,0.0248207,0.0174621,0.0118526,0.0433416,0.0366984,0.0131277,0.018636,0.022082,0.0123177,0.0340491,0.056675,0.0477597,0.0187235,0.0288119,0.0313954,0.0281336,0.0255897,0.0358503,0.0121285,0.00629556,0.0118751,0.00617112,0.0250353,0.0246763,0.0241771,0.0195967,0.0187438,0.0230021
386,0.00664707,0.029613,0.0220407,0.0203812,0.0412024,0.0170581,0.01438,0.0290132,0.0226139,0.0133092,0.0142417,0.0275462,0.0144966,0.0174256,0.0100065,0.0215158,0.0184974,0.021155,0.0247552,0.0178421,0.0113259,0.0432135,0.0372694,0.0141096,0.0197404,0.0220875,0.0137051,0.0340393,0.0565641,0.048082,0.0188333,0.0289273,0.030914,0.0281301,0.0248729,0.0356453,0.0144448,0.0102576,0.0141793,0.00958114,0.0257638,0.0250008,0.0246155,0.0206107,0.0194985,0.0236228
