/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.119972	0.407316	0.133609	0.284065	0.178232	0.277829	0.204209	0.004803	0.067328	0.023609
0.115965	0.401991	0.135311	0.289548	0.175575	0.285518	0.209196	0.004789	0.064657	0.023007
0.112038	0.396604	0.137019	0.294971	0.173130	0.293006	0.214157	0.004783	0.062040	0.022420
0.108196	0.391181	0.138733	0.300339	0.170892	0.300267	0.219080	0.004785	0.059481	0.021846
0.104443	0.385742	0.140454	0.305655	0.168858	0.307277	0.223954	0.004795	0.056983	0.021285
0.100783	0.380305	0.142183	0.310917	0.167023	0.314015	0.228766	0.004813	0.054550	0.020737
0.097219	0.374882	0.143924	0.316118	0.165383	0.320458	0.233507	0.004838	0.052187	0.020203
0.093754	0.369482	0.145683	0.321249	0.163934	0.326580	0.238167	0.004872	0.049894	0.019684
0.090390	0.364109	0.147465	0.326293	0.162673	0.332357	0.242736	0.004915	0.047677	0.019179
0.087132	0.358767	0.149278	0.331232	0.161594	0.337759	0.247206	0.004967	0.045536	0.018690
0.083980	0.353459	0.151128	0.336044	0.160689	0.342756	0.251573	0.005029	0.043474	0.018217
0.080936	0.348188	0.153019	0.340702	0.159947	0.347322	0.255833	0.005102	0.041492	0.017760
0.078003	0.342962	0.154952	0.345175	0.159358	0.351434	0.259992	0.005187	0.039591	0.017320
0.075180	0.337789	0.156929	0.349427	0.158908	0.355085	0.264056	0.005284	0.037771	0.016897
0.072468	0.332679	0.158945	0.353420	0.158580	0.358277	0.268038	0.005395	0.036034	0.016491
0.069866	0.327648	0.160996	0.357110	0.158358	0.361029	0.271950	0.005520	0.034377	0.016101
0.067375	0.322708	0.163074	0.360451	0.158225	0.363368	0.275808	0.005660	0.032800	0.015727
0.064991	0.317874	0.165172	0.363393	0.158161	0.365327	0.279625	0.005816	0.031303	0.015369
0.062714	0.313161	0.167279	0.365885	0.158144	0.366939	0.283415	0.005989	0.029882	0.015025
